date,24-Hour Precipitation
2020-08-10,0.2482
2020-08-17,0.3457266666666667
2020-08-24,0.2562923076923077
2020-08-31,0.14477647058823528
2020-09-07,0.3241076923076923
2020-09-14,0.40637272727272733
2020-09-21,0.0
2020-09-28,0.01101111111111111
2020-10-05,0.28343846153846153
2020-10-12,0.04092727272727273
2020-10-19,0.5159583333333334
2020-10-26,0.008119999999999999
2020-11-02,0.4479
2020-11-09,0.37401249999999997
2020-11-16,0.300125
2020-11-23,0.5
2020-11-30,0.3531666666666667
2020-12-07,0.79
2020-12-14,0.01985
2020-12-21,0.2324
2020-12-28,0.45475
2021-01-04,0.35455
2021-01-11,0.7522749999999999
2021-01-18,1.15
2021-01-25,0.01985
2021-02-01,0.129975
2021-02-08,0.3051
2021-02-15,0.055
2021-02-22,0.35708333333333336
2021-03-01,0.3178666666666667
2021-03-08,0.01985
2021-03-15,0.0
2021-03-22,0.21660000000000001
2021-03-29,0.44976153846153843
2021-04-05,0.10668181818181818
2021-04-12,0.1337777777777778
2021-04-19,0.3483846153846154
2021-04-26,0.17796923076923077
2021-05-03,0.013854545454545454
2021-05-10,0.2714857142857143
2021-05-17,0.002814285714285714
2021-05-24,0.0
2021-05-31,0.50096
2021-06-07,0.26834545454545455
2021-06-14,0.1316090909090909
2021-06-21,0.053372727272727266
2021-06-28,0.05644444444444444
2021-07-05,0.47590000000000005
2021-07-12,0.6026588235294118
2021-07-19,0.19242307692307692
2021-07-26,0.30663999999999997
2021-08-02,0.33342857142857146
2021-08-09,0.17
2021-08-16,0.23500000000000001
2021-08-23,1.1275
2021-08-30,0.75
2021-09-06,2.3133333333333335
2021-09-13,0.14500000000000002
2021-09-20,0.03
2021-09-27,0.695
2021-10-04,0.07500000000000001
2021-10-11,0.08499999999999999
2021-10-18,0.085
2021-10-25,0.05
2021-11-01,0.89
2021-11-08,0.5433333333333333
2021-11-15,0.19666666666666666
2021-11-22,0.04
2021-11-29,0.03
2021-12-06,0.12666666666666668
2021-12-13,0.0725
2021-12-20,0.049999999999999996
2021-12-27,0.085
2022-01-03,0.38780000000000003
2022-01-10,0.13599999999999998
2022-01-17,1.41
2022-01-24,0.0675
2022-01-31,0.185
2022-02-07,0.3866666666666667
2022-02-14,0.14
2022-02-21,0.55
2022-02-28,0.35000000000000003
2022-03-07,0.04
2022-03-14,0.275
2022-03-21,0.09
2022-03-28,0.39999999999999997
2022-04-04,0.2
2022-04-11,0.3625
2022-04-18,0.07250000000000001
2022-04-25,2.06
